N/A,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,NSE:ACC,NSE:ADANIPORTS,NSE:AMBUJACEM,NSE:ASIANPAINT,NSE:AXISBANK,NSE:BAJAJ-AUTO,NSE:BANKBARODA,NSE:BHARTIARTL,NSE:BHEL,NSE:BOSCHLTD,NSE:BPCL,NSE:CAIRN,NSE:CIPLA,NSE:COALINDIA,NSE:DRREDDY,NSE:GAIL,NSE:GRASIM,NSE:HCLTECH,NSE:HDFC,NSE:HDFCBANK,NSE:HEROMOTOCO,NSE:HINDALCO,NSE:HINDUNILVR,NSE:ICICIBANK,NSE:IDEA,NSE:INDUSINDBK,NSE:INFY,NSE:ITC,NSE:KOTAKBANK,NSE:LT,NSE:LUPIN,NSE:M&M,NSE:MARUTI,NSE:NTPC,NSE:ONGC,NSE:PNB,NSE:POWERGRID,NSE:RELIANCE,NSE:SBIN,NSE:SUNPHARMA,NSE:TATAMOTORS,NSE:TATAPOWER,NSE:TATASTEEL,NSE:TCS,NSE:TECHM,NSE:ULTRACEMCO,NSE:VEDL,NSE:WIPRO,NSE:YESBANK,NSE:ZEEL,Z74.SI,S58.SI,U14.SI,D05.SI,O39.SI,U11.SI,F34.SI,BN4.SI,H78.SI,G13.SI,C07.SI,C31.SI,C6L.SI,Y92.SI,MC0.SI,C09.SI,S63.SI,S51.SI,U96.SI,E5H.SI,C61U.SI,S68.SI,C38U.SI,A17U.SI,T39.SI,CC3.SI,BS6.SI,S59.SI,C52.SI,EB5.SI,S08.SI,T82U.SI,K71U.SI,N03.SI,JOBS,ATV,ACTS,GRO,AMCN,ACH,ATAI,BIDU,CYOU,CPC,STV,DL,CEA,JRJC,LFC,CMM,CHL,CEO,SNP,ZNH,CNTF,CHA,CHU,CISG,CTRP,EJ,GSH,HNP,JASO,NTES,EDU,PTR,SOL,SHI,NCTY,TCM,TSL,VISN,XIN,YZC,YGE
MMM,0.000449567,0.000288683,0.000248156,0.000313032,0.000358848,0.000354541,0.00033132,0.000167289,0.000287845,0.000335046,0.000273494,0.000357713,0.00035339,0.000252834,0.00022242,0.000308885,0.000247065,0.000307857,0.000177244,0.000171351,0.000277869,0.000204954,0.000190143,0.000198234,0.000268558,0.000363121,0.000227035,0.000201615,0.000288774,0.000178729,0.0000195,-0.00000442,0.0000371,-0.0000941,0.0000349,-0.0000926,0.000267536,0.000065,0.00000495,0.0000441,0.0000337,0.0000332,-0.000054,-0.0000176,-0.0000742,-0.0000684,0.0000954,0.0000806,-0.00000793,0.0000265,-0.0000711,-0.0000524,-0.00000114,0.0000226,0.000118316,0.0000405,0.000000693,0.0000766,-0.0000116,0.0000327,0.0000204,-0.0000318,-0.00000185,0.0000481,0.00000426,-0.0000213,0.0000233,0.0000298,-0.000124173,-0.0000178,-0.00000942,0.00000458,-0.0000274,0.0000806,0.0000702,0.0000405,-0.00000188,0.0000244,0.000087,0.000011,0.0000309,-0.0000273,0.0000135,-0.0000188,-0.0000482,0.00000223,0.0000565,-0.0000388,-0.0000114,-0.0000331,0.0000511,-0.00000533,0.00000941,0.0000674,0.0000339,-0.0000238,0.0000251,0.0000275,-0.00000668,0.0000515,0.0000164,-0.00000454,0.00000208,0.0000116,-0.0000136,-0.0000114,0.00000582,-0.00000182,-0.0000406,0.0000142,-0.0000161,-0.0000105,-0.00000917,-0.0000394,0.000276071,0.000190523,0.000110601,0.000146362,-0.0000119,0.000297328,0.000238251,0.000284394,0.000224884,-0.000423356,0.000106201,0.000503708,0.000178764,0.000366613,0.000283734,-0.000107003,0.000153731,0.000344358,0.000280062,0.000266788,0.000479651,0.00027075,0.000152969,0.0000529,0.000361217,0.0000996,0.000256703,0.000230839,0.00031769,0.000257054,0.000232708,0.000386476,0.000541339,0.000108679,0.000276756,0.000302378,0.000361467,0.000497602,0.000294398,0.000361514,0.000556556
AXP,0.000288683,0.000798596,0.00026949,0.000358629,0.000349236,0.000321217,0.000337166,0.000191725,0.000281176,0.00034022,0.000241053,0.000292844,0.000450174,0.000261772,0.000284453,0.000292139,0.000247273,0.000425618,0.0000766,0.000204207,0.000290848,0.000213288,0.000195773,0.000137627,0.000226197,0.000310826,0.000140434,0.000145573,0.000362456,0.000174219,0.0000201,0.0000856,-0.000062,-0.0000147,0.0000901,-0.0000275,0.000360576,-0.000036,0.00011925,0.00010297,0.0000577,-0.0000477,-0.0000134,-0.0000292,-0.0000108,0.00000206,0.0000255,-0.0000864,0.0000687,0.0000909,-0.000107957,-0.0000862,-0.0000731,0.000203155,0.0000582,0.000140583,0.0000149,0.000101674,0.0000757,-0.00000651,-0.0000918,-0.0000159,0.0000943,0.0000521,0.0000152,0.0000529,0.0000314,0.0000031,-0.000174943,0.0000552,-0.0000487,0.0000164,0.0000585,0.0000721,0.0000724,-0.0000084,-0.000017,0.0000308,0.0000196,0.000161309,-0.0000454,-0.00000612,-0.0000739,-0.000073,-0.0000988,-0.0000495,-0.0000391,-0.0000628,-0.000087,-0.0000336,-0.000142536,-0.000059,0.00000246,-0.000135278,0.0000245,-0.0000974,-0.000108769,-0.0000851,-0.0000941,0.000017,-0.0000426,-0.0000518,-0.0000941,-0.0000944,-0.0000524,-0.0000499,-0.0000887,0.00000952,-0.0000747,0.0000414,-0.0000526,-0.0000913,-0.0000476,-0.0000511,0.000276801,0.000457452,0.000232277,0.000259795,-0.0000755,0.00027403,0.000238781,0.000272362,0.000368336,-0.000756493,0.000334392,0.000312269,0.000287885,0.000693542,0.000333176,-0.000480352,0.000103789,0.000296133,0.000271479,0.000413544,0.000465168,0.000195801,0.000174553,0.000208602,0.000301875,0.00026382,0.000247467,0.000158024,0.000322047,0.00025948,0.000302508,0.00037984,0.000347349,0.000150837,0.000621082,0.000244412,0.000463985,0.000215493,0.000311226,0.000360718,0.000409219
AAPL,0.000248156,0.00026949,0.00136997,0.00040951,0.000387701,0.000310725,0.000316331,0.000151987,0.000237192,0.000229529,0.000152327,0.000293152,0.000389683,0.000228223,0.000251905,0.000386848,0.000118628,0.000352304,0.000110774,0.000234959,0.000323082,0.00027553,0.00011469,0.000107235,0.000187882,0.000226628,0.000155213,0.0000855,0.000257256,0.000207467,-0.000027,0.0000768,-0.000119744,-0.000608233,0.0000503,-0.000114696,-0.000294985,-0.000101779,-0.0000488,-0.0000925,0.0000113,0.00023607,-0.0000676,0.0000641,-0.000132581,-0.000136812,-0.0000431,0.000069,-0.0000204,-0.0000455,0.00000724,0.000210838,0.000148516,-0.0000778,0.0000641,0.0000241,0.000000833,-0.0000223,0.00000416,-0.0000921,-0.000101448,-0.0000521,-0.0000535,-0.0000551,-0.000109885,0.000322574,-0.0000164,-0.0000402,-0.000148493,-0.000125775,0.000230655,-0.0000453,0.0000511,0.0000784,0.0000977,-0.0000421,0.000158872,0.0000983,-0.0000241,-0.0000469,-0.0000456,0.0000294,-0.0000993,-0.0000984,-0.000141846,-0.000049,-0.0000509,-0.0000973,-0.000136395,-0.000053,-0.000158686,-0.000164072,0.0000126,0.0000902,-0.00000308,-0.000101114,-0.0000451,-0.000175419,-0.000116968,-0.0000328,-0.0000548,-0.0000712,-0.0000676,-0.0000338,-0.000088,-0.0000711,-0.00000783,0.00000174,0.0000298,0.000284519,-0.0000066,-0.0000756,0.0000201,0.0000131,0.000451551,0.000429333,0.000252891,0.0000347,0.000195151,0.000582749,0.000211134,0.000583904,0.000215159,0.000650395,0.000598767,0.000562263,0.000649752,0.000525141,0.000537073,0.000575033,0.000322908,0.000503205,0.000398273,0.000582735,0.000322781,0.000442843,0.000291013,-0.0000722,0.000988017,0.000367546,0.000171687,0.000365487,0.000428492,0.000460851,0.000380345,0.000435351,0.000371478,0.000583122,0.000465081,0.000117488,0.000504647,0.000638988,0.000321906,0.000594774,0.000278959
BA,0.000313032,0.000358629,0.00040951,0.000933102,0.00034218,0.000340441,0.000320704,0.000220181,0.000336494,0.000407758,0.000258185,0.000360652,0.000401248,0.000266983,0.000354911,0.000294946,0.000224438,0.000300055,0.000191592,0.000156827,0.000181328,0.000277233,0.000176974,0.000139906,0.00022208,0.000391946,0.000177353,0.000218032,0.000311705,0.000159066,0.000139528,0.000135936,0.0000722,-0.0000562,0.0000953,-0.00000619,0.0000786,-0.000102679,0.000140149,0.000057,0.000178521,0.000111954,0.000013,0.0000365,0.0000382,0.00000739,0.000171347,0.0000791,0.0000955,0.000136824,-0.000051,0.0000625,0.0000262,-0.0000864,-0.000102125,0.000130042,0.0000577,0.000144114,0.000132727,0.000177127,0.000046,0.0000134,0.000158815,0.0000579,0.0000326,0.000350981,0.000091,0.000121037,0.000250221,-0.0000488,0.0000359,0.000103212,-0.0000351,0.000130765,-0.000118582,0.0000991,0.0000379,0.0000558,0.000137003,0.0000375,-0.000017,-0.0000786,-0.0000817,0.00000828,-0.0000404,-0.0000325,-0.00000766,-0.0000607,-0.00007,-0.0000224,-0.000103729,-0.0000767,0.0000402,-0.0000516,-0.0000455,-0.0000339,-0.0000313,0.00000609,0.0000123,-0.0000338,-0.000027,-0.0000201,-0.0000386,-0.0000714,-0.0000717,-0.0000384,-0.0000511,0.0000231,-0.0000763,0.0000419,0.0000424,-0.0000493,-0.0000596,-0.0000884,0.000318337,0.0000171,0.000184966,0.000283701,-0.0000365,0.000234294,0.000396587,0.000305988,0.00026728,-0.0000676,0.000204298,0.00070793,0.000327963,0.000763329,0.000303428,-0.000280189,0.000181796,0.000333781,0.000293176,0.000264356,0.000451494,0.000227546,0.000149894,0.0000887,0.00047023,0.000307217,0.000228959,0.00025533,0.000567332,0.000364709,0.000427403,0.000392743,0.000606388,0.000189233,0.000682283,0.000157164,0.000682189,0.000486539,0.000382098,0.000384181,0.000711042
CAT,0.000358848,0.000349236,0.000387701,0.00034218,0.001009578,0.000425342,0.000411243,0.000165755,0.000333814,0.000469107,0.000347287,0.000457395,0.000501082,0.000201293,0.000359149,0.000411326,0.000203754,0.000431135,0.00013091,0.000216002,0.000384689,0.000177555,0.000140912,0.000143272,0.000265895,0.000475752,0.000264126,0.00022645,0.000238248,0.000197453,0.0000748,0.000216525,0.0000771,-0.000343826,0.000134434,-0.0000155,0.00059476,0.0000455,0.0000701,0.000028,-0.00000765,0.0000763,0.00000262,0.0000705,-0.000103543,-9.86E-08,-0.000005,0.0000374,-0.000107976,0.0000485,-0.0000211,-0.000025,-0.0000444,-0.000393771,0.000000832,0.00011548,-0.000038,0.0000657,0.000107154,0.0000599,0.0000296,-0.000108128,0.0000385,0.0000776,-0.000129464,0.000323568,-0.0000068,0.0000435,-0.0000103,-0.000138178,0.0000625,0.00000336,0.000107002,0.000155847,0.000134548,-0.0000584,0.000047,0.0000415,0.000145688,0.0000592,0.00000138,-0.0000148,0.0000152,0.00000704,-0.0000685,-0.0000228,0.0000925,-0.000117012,-0.00000315,0.00000514,0.0000424,-0.0000349,0.0000973,0.0000775,-0.0000158,-0.000027,-0.000026,-0.0000983,-0.0000862,0.000076,0.0000441,0.0000147,0.000019,0.00007,-0.00000852,-0.0000303,0.00000336,-0.0000179,-0.000106827,0.000104375,-0.0000573,-0.000021,0.0000274,-0.0000193,0.000407837,0.000616971,0.000165278,0.0001748,0.000337338,0.000649985,0.000249762,0.000375822,0.000483581,-0.000160062,0.00067449,0.000572553,0.000192818,0.000778953,0.000442854,0.0000287,0.000276148,0.000716651,0.000636186,0.000251896,0.001038322,0.0004398,0.000380308,-0.0000686,0.000561945,0.000345889,0.000265878,0.000474691,0.000546315,0.000287913,0.000377624,0.000688883,0.000672086,0.000540371,0.000393809,0.000304007,0.00076151,0.00095893,0.00057768,0.000727538,0.000984628
CVX,0.000354541,0.000321217,0.000310725,0.000340441,0.000425342,0.000858788,0.000433337,0.000262545,0.000333529,0.000323068,0.000551578,0.000410294,0.000434564,0.000280803,0.000290923,0.000394098,0.00026991,0.000423321,0.000224284,0.000232908,0.000363691,0.000243164,0.000258811,0.000221558,0.000268699,0.000319855,0.000225871,0.000238523,0.000294743,0.000163373,0.0000496,-0.0000465,0.0000926,0.000347761,-0.0000723,-0.0000141,0.000346029,0.000104403,0.000164528,0.000160538,0.0000719,0.0000534,0.000019,0.0000341,-0.0000594,0.0000867,0.000105741,-0.00000296,0.000115828,0.0000177,-0.0000915,0.000121693,0.0000455,-0.0000486,0.00018313,-0.0000165,0.00000782,0.0000879,0.000058,0.0000542,-0.0000757,-0.0000478,0.0000632,0.000123348,0.0000969,-0.000100568,0.000106674,0.000109667,0.000164802,-0.0000407,0.000135729,0.000117003,0.0000954,0.0000827,0.0000224,0.0000452,0.00024438,-0.0000454,0.000195351,0.000118178,-0.0000208,-0.0000329,-0.0000326,-0.0000693,-0.0000925,-0.0000119,0.0000153,-0.0000655,-0.0000559,-0.0000968,-0.00000187,-0.0000847,0.0000571,-0.0000448,-0.0000387,-0.00000771,0.0000208,-0.0000259,-0.0000758,0.00000393,-0.0000291,-0.0000406,0.00000497,0.00000748,-0.00000329,-0.0000116,0.0000289,-0.0000178,-0.0000207,0.0000806,-0.0000691,-0.00000138,-0.000044,-0.0000189,0.000389964,0.000451634,0.000309542,0.000240613,0.0000961,0.000493034,0.000235795,0.000366711,0.000456075,0.000363929,0.0003299,0.000501357,0.000203843,0.000567281,0.000459044,0.000117644,0.000172529,0.000703039,0.000563679,0.000271281,0.000455679,0.000306368,0.000241262,0.0000474,0.000370967,0.00012001,0.000281062,0.000270761,0.00063103,0.000395335,0.000298271,0.000722648,0.000920044,0.000371006,0.000354419,0.00026267,0.000641433,0.000401043,0.000354294,0.000514155,0.000863144
CSCO,0.00033132,0.000337166,0.000316331,0.000320704,0.000411243,0.000433337,0.000992301,0.000252578,0.000323931,0.000382842,0.000321352,0.000404794,0.000479409,0.000295978,0.0003646,0.000442199,0.000278619,0.000464131,0.000235218,0.000256799,0.000522614,0.00027818,0.00021986,0.000207519,0.000298181,0.000378435,0.000265812,0.000212064,0.000344285,0.000211364,-0.0000404,0.0000398,-0.00000439,-0.000248922,-0.0000644,-0.000106287,-0.0000481,0.0000857,-0.0000795,-0.0000168,-0.0000128,-0.0000418,0.0000458,0.0000512,-0.0000722,-0.000176245,0.0000952,0.0000169,0.000014,0.0000726,-0.0001023,0.0000683,0.0000302,-0.0000877,-0.000061,0.0000282,-0.0000572,-0.0000396,0.000136644,0.000000436,0.0000155,-0.0000953,-0.0000959,0.0000486,-0.0000518,0.00014863,-0.0000345,0.0000219,-0.000304185,-0.0000514,0.0000668,0.000062,-0.0000872,0.0000987,-0.0000168,0.0000119,0.0000772,-0.0000417,0.000108917,-0.000105283,-0.00000138,0.0000123,-0.0000381,-0.00013724,-0.0000776,-0.0000378,-0.0000238,-0.0000382,-0.0000453,-0.0000303,0.0000796,-0.0000863,0.0000247,0.0000281,-0.0000353,-0.0000335,0.00000722,-0.0000172,-0.0000564,0.000121141,0.0000201,-0.0000228,-0.0000334,0.0000705,0.000000303,-0.0000783,-0.0000527,0.0000312,-0.0000895,0.000136783,-0.0000496,0.0000114,-0.0000695,0.0000272,0.000359173,0.000283164,0.000146426,0.000256185,0.000150918,0.000397493,0.0000835,0.000389975,0.000214062,-0.000169014,0.000336135,0.000433766,0.000370346,0.000595085,0.000504916,0.0000825,0.000280245,0.000462592,0.000406232,0.000416364,0.000416712,0.000394927,0.000247466,0.000277063,0.000362445,-0.0000197,0.000314359,0.000373104,0.000437176,0.000396931,0.000266774,0.00050147,0.000672051,0.000349551,0.0000536,0.000241511,0.000384293,0.000189504,0.000261781,0.000440474,0.000872425
KO,0.000167289,0.000191725,0.000151987,0.000220181,0.000165755,0.000262545,0.000252578,0.00043779,0.000143493,0.0000982,0.0002003,0.000203798,0.000138721,0.000183252,0.000174869,0.000219251,0.00017803,0.000134148,0.000197708,0.000140383,0.000255878,0.000215132,0.00017398,0.000214045,0.000184188,0.000157275,0.0000985,0.000201472,0.000175298,0.000206159,0.0000345,-0.00000135,0.0000427,0.000184452,-0.0000731,-0.0000501,-0.00009,0.000117842,-0.00000565,0.0000275,0.0000428,-0.00000125,0.00000104,-0.0000339,-0.0000424,0.0000193,0.0000771,-0.0000535,0.00000814,0.0000453,-0.0000203,-0.0000398,0.0000743,-0.000230208,0.000117228,0.00000722,-0.0000601,0.0000891,0.0000518,0.00003,-0.0000388,-0.0000135,0.000049,0.0000384,0.000011,0.00041566,-0.0000119,0.000013,-0.000063,-0.0000525,-0.0000564,-0.00000739,0.00000887,-0.00000931,0.0000382,0.00000773,-0.0000487,-0.0000571,0.000135579,-0.0000162,-0.0000384,0.0000356,-0.0000233,-0.0000321,-0.0000313,0.0000254,-0.0000123,-0.0000189,-0.0000026,0.00000945,0.0000201,-0.0000274,0.0000363,-0.0000459,-0.0000339,-0.0000089,0.000000701,0.0000394,0.0000224,-0.00000766,-0.00000433,-0.0000312,0.0000193,0.00000273,0.0000057,-0.0000136,0.000032,0.0000457,-0.000051,0.000045,-0.0000424,0.000026,-0.000027,-0.00000847,0.000213489,0.000219753,0.0000384,0.000117487,0.000118065,0.000141967,0.000118704,0.0000774,0.0000796,-0.000370222,0.000104775,0.000121112,0.000248807,0.000207943,0.000208961,-0.000271832,0.00018147,0.000259314,0.000219317,0.000291129,0.000368428,0.000244234,0.000192637,0.0000896,0.000170607,-0.0000363,0.000189166,0.000206362,0.0000733,0.000231883,0.000119884,0.000294836,0.000133377,0.000192541,0.000330475,0.0000706,-0.0000258,0.000287289,0.000134365,0.000199277,0.0000878
DIS,0.000287845,0.000281176,0.000237192,0.000336494,0.000333814,0.000333529,0.000323931,0.000143493,0.000712384,0.000318549,0.000246436,0.000283967,0.000420666,0.000339185,0.000239162,0.000352453,0.000224713,0.000338702,0.000167292,0.000188431,0.000366679,0.000342495,0.000251549,0.000210432,0.000236929,0.000333591,0.000236201,0.000252579,0.000319157,0.000190883,0.0000503,-0.00000136,-0.00000222,-0.000232509,0.000286214,-0.0000229,0.0000556,0.0000553,0.000243025,-0.0000202,0.0000855,0.0000249,0.0000371,-0.00000791,-0.00000323,0.0000833,0.000120613,0.0000115,0.000127049,0.000115326,-0.00000574,-0.000017,-0.0000342,0.000305594,0.00000488,0.000152107,-0.0000223,0.000112947,0.000149401,0.000177334,0.0000446,0.000102977,0.0000889,-0.00000216,0.0000732,0.0000838,-0.0000524,-0.00000971,0.000293009,-0.0000571,0.000097,0.000100844,-0.0000778,0.0000589,-0.0000391,0.000100807,0.0000433,-0.0000312,0.0000567,0.0000961,-0.00000563,0.000032,0.0000353,-0.0000173,-0.0000555,-0.0000021,0.0000297,-0.000076,-0.0000179,-0.0000303,-0.000067,0.00000534,0.0000231,-0.0000284,0.0000829,0.0000289,0.0000225,-0.0000218,-0.00000554,0.0000773,0.00000968,-0.0000178,0.0000452,0.0000831,-0.0000438,0.0000433,-0.0000128,-0.00000537,-0.0000323,0.0000691,-0.0000246,0.0000553,0.0000151,-0.0000408,0.000307178,0.0000774,0.0000636,0.0000946,-0.0000523,0.000348944,0.000210083,0.000414102,0.000312368,-0.000482949,0.00021045,0.000612249,0.000441129,0.000471283,0.000528789,-0.00061053,0.000172786,0.000356976,0.000347579,0.000430495,0.000438541,0.00020656,0.000247145,0.000159124,0.000449524,0.000268732,0.000306946,0.000275709,0.00046777,0.000220668,0.000414111,0.000456642,0.000318144,0.000259776,-0.0000319,0.000280988,0.000635443,0.000415954,0.000284756,0.000340245,0.000550298
DD,0.000335046,0.00034022,0.000229529,0.000407758,0.000469107,0.000323068,0.000382842,0.0000982,0.000318549,0.001047289,0.000250621,0.000375831,0.00038708,0.000192932,0.000244026,0.000296446,0.000163009,0.000366223,0.0000807,0.000184068,0.000234767,0.0000678,0.000154779,0.000124044,0.000210156,0.000388822,0.000142218,0.000203837,0.00024811,0.000142528,0.0000151,0.0000906,-0.000063,-0.000418475,-0.0000388,0.0000238,0.000201986,0.0000731,0.0000279,0.0000652,0.00000967,0.0000389,-0.000024,0.000015,-0.000240371,0.0000631,0.0000163,0.000038,0.00000447,0.0000344,0.00000825,0.000201473,-0.0000559,-0.000142044,-0.000109948,-0.000015,0.000044,-0.000000272,0.0000147,0.0000917,-0.00004,-0.0000406,0.00000132,0.0000643,0.0000732,-0.0000616,-0.00000743,0.0000694,-0.000110291,-0.000238715,0.000235975,0.000052,0.000100714,0.000107556,0.0000192,-0.000078,0.000228997,-0.0000392,-0.00000864,0.0000507,0.0000409,-0.0000565,-0.0000363,-0.0000368,-0.0000675,-0.0000655,0.0000327,-0.000102441,-0.0000658,-0.0000379,-0.00000777,-0.0000872,0.0000635,-0.0000216,-0.0000486,0.00000917,-0.0000513,-0.000132525,-0.000150614,0.0000487,0.0000491,0.000000178,-0.0000159,0.0000197,0.0000145,-0.0000772,-0.0000193,-0.0000658,-0.000101125,0.0000779,-0.0000798,-0.0000044,-0.0000187,-0.0000544,0.000305675,0.000375617,-0.00000185,0.000149873,-0.0000594,0.000297994,0.000412204,0.000374533,0.000306146,-0.000756988,0.000371947,0.000467518,-0.0000529,0.000145343,0.000310286,0.000561015,0.0000988,0.000338799,0.000294034,0.0000341,0.000592761,0.0000859,0.0000655,0.0000835,0.00016431,0.000166441,0.00032396,0.000126489,0.000427976,0.000168934,0.0002964,0.000422806,0.000507981,0.000121509,0.000611241,0.000113039,0.00066711,0.000354078,0.000413799,0.000440145,0.000828711
